chapters,ari
1,0.02477235731904095
2,0.034925120873335824
3,-0.0006439547496667618
4,-0.010945398478334544
5,0.008311121933995004
6,0.015469105818856079
7,0.0019131021715011597
8,0.022149175896785542
9,-0.0003298489974071332
10,-0.0011483819882697453
11,0.033954331697617565
12,-0.0018208500667233998
13,0.020482034725650633
14,0.02572532017350753
15,0.016391574215938388
16,0.02221692268993104
17,0.0006580252900101952
18,0.021623176614409274
19,0.02556118405964301
20,0.02088121686725592
21,0.017047672750098674
